F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39
-5103.647808114981,-6165.8638053959285,8557.373821003152,1103.9714807186103,-6368.207757501173,1834.7227727648065,-1867.9625574079714,784.9434077723196,1857.6945600122406,3286.006102269596,1701.1331052091432,3642.675472118469,-943.2106152034908,761.3657926340076,-1355.2343796154137,-962.8933856693833,3201.9925738441843,1303.5649873636676,-420.71347683649435,128.82035542548633,-308.56171555861425,3556.897325325485,616.6166670911756,1790.2790282999047,1792.595543481816,1377.8694568459546,-599.4099463217676,3030.7849860825227,438.44227898723443,676.1178631304883,-85.34243085596694,1889.9306529194532,267.65665646486065,-226.09990928896516,-1083.41186573913,224.4682577100602,309.19823254554905,-129.5245553110975,-722.1987515673429,-735.678728319193
-7760.322656889888,-4877.135865825291,7614.676661832366,778.5438123081422,-5080.012373297512,2950.7285869081975,-3220.853756675856,2494.286196252567,3211.181802694811,2126.4117687799485,2068.6948784600468,2799.1569638339734,-330.84461877732355,1274.4998343598684,-2197.556871306388,438.346702665883,1952.6854400067746,2921.2584232327245,-1024.9398981870954,-998.4054408230166,-827.2563977310529,3344.691319334241,-25.448864759718116,2707.4577365990713,3652.944765377995,2247.2453594863,183.52981212137934,3507.504891190447,307.66795838313635,-1825.6077686976473,253.69880073293848,1122.0536771761488,1343.0870010947067,-1519.505607828928,-100.36316394183237,1698.9207576381718,53.624401197396125,-1379.160430945445,108.72579872650562,-943.1363204379733
-5130.831177551824,-6346.923900584165,8780.11831537532,1080.4926735635463,-6645.379450968088,2857.5279921794313,-2451.8667461973355,1093.3366249084338,2612.25880554875,2603.6163294703556,2308.108778295846,3535.219376997924,-1214.9818400382067,1248.25900142146,-1602.836012913499,-267.7911956947818,3098.200356735043,1535.1486095129987,-314.35126689270555,70.93854365007192,-834.4361167281035,4090.6614674519224,33.90867318676169,1133.0134735318084,2447.174753688935,1510.1064840365339,-47.55800909612723,3522.2665830574942,377.75657497556006,-183.41050356718233,384.11680283878104,1724.1919617331366,11.367496347877973,-790.8041729415106,-1287.603991069965,803.7060961242503,260.78246208712676,-509.6792758133817,-739.9245040362675,-1518.2615274216182
-1932.3354628755928,-8973.641937880555,8834.283714941675,3198.767583267591,-3263.684579693343,3879.9966424777153,126.00671224383001,-2603.942236563193,-1339.174824640431,1483.384390421888,5555.369932915253,683.597837775796,-4762.467691057052,137.77850012491024,-1760.399752153093,844.9125062688812,-1109.911329388517,447.06227407761065,1549.2840601383457,1186.4620275134266,1083.9806254913772,1287.05555906569,1767.1387552557203,-171.39879542527612,-471.87583052994694,1607.1631128659956,1797.6621975876214,864.5327982300455,-1517.2141442444242,-302.13497291635383,-425.08317332835065,-411.83608509357396,1527.7951991193468,-1767.9129739243576,863.467640966845,-68.754731647807,300.76651287738594,2521.326838706974,69.32560014253454,-507.08208958443686
-2340.9194934741336,-7327.671891923121,9100.068853710669,2335.950857403694,-4548.366722294774,3337.413303930253,-1116.6553236717446,-1290.1773175922187,173.16408054210254,2546.938644749811,5548.590429991222,966.3984913712526,-4563.790421107715,246.4403163296733,-2184.712853137404,755.266803272954,-1247.3556727159357,1234.2722563137704,1221.5489622880743,1830.0646158779862,515.602222470982,2676.891072094493,2031.782889297922,157.0054685222145,-726.6317561929576,711.61021980281,366.4608850178608,1243.318078965622,-815.8475668626015,354.1879651807051,-368.60113258890095,-231.8756756749217,1607.0801001403938,-1008.8049051114883,531.0373878349681,-357.89961456228934,123.85223281266886,2870.9781305712204,-582.1473561040586,-782.1342892243339
-2507.4048626414633,-7882.472620850207,8877.346701083874,2735.2431481845842,-4546.537365039086,3084.3250481021,-687.5857390436433,-1750.5968862303407,75.77574747756103,2313.878451027314,5270.820370246264,1138.6909012976737,-4509.7040989867855,507.7150538043059,-1993.0921490124413,769.6404143673142,-1071.1335078147747,818.5785815518987,1132.5930795210422,1748.8529707450134,829.4733286357979,2778.3518590245826,2104.625366649303,87.75737909857642,-877.9408898194083,963.5477387292772,478.46999642609416,1236.355364733815,-1112.2150640095624,354.37573211678324,-472.44612556723007,-15.621636605454954,1622.3365737301576,-1250.2860120368186,451.69991116477325,-544.4458167304296,247.1667129566385,3075.4184411383517,-229.8769815264356,-864.0041182138579
-1019.5877657231856,-5663.447146027916,10349.93596467074,1406.0609950164207,-4385.862641418469,4641.653094302955,2739.099137526245,-1627.3022813669274,768.210320350084,850.8497935076757,3632.3514592735455,1186.9778481058322,-3129.5261144497426,502.777017775539,-2081.781977192799,909.7329362045749,888.2030231825065,-3262.717975378205,2002.032074548527,-183.37445837853028,195.8340018077178,-1203.1497235510867,603.1592505586566,1460.450282190566,-371.2847743747867,268.7251938040629,3043.2060112752824,319.25035754112616,-2819.118984896606,-933.8268067807966,-1236.9707831133971,-2077.5813972501314,723.3716250618744,-1054.359476564021,-307.63259445147474,-1121.1085889536462,-756.1308987274375,371.71426483209814,-516.9182047890996,9.43612010865957
2282.661941028618,1126.8138747025862,12285.95378551813,-2816.1369442592195,-2696.8001581098197,4500.725982059642,2278.2017247633016,471.86114138263036,1401.8880494667937,575.8860249641036,1656.0971509714182,2216.065620658856,-696.5463061956162,-2157.364806875991,-617.6366446423152,1075.7556068459212,2855.6590308767018,-665.2694764596087,204.0490286822624,786.9215783554164,-892.7077513975829,262.2935528329485,272.14849500378676,-1713.3552611954972,1836.2648173018667,-1428.6627388622294,-75.55642719530306,-1060.4809803258834,2007.8243233615588,470.7085903689064,1117.8333048835211,-45.093083846164525,-1320.9936485325886,117.41934829811366,-911.542068169277,-223.55847764896316,-49.426853474683995,896.3730555742233,1511.6795441835952,1297.8120813197336
1162.4208146150681,-226.59792683614282,12439.519812987188,-2564.1052807843707,-4011.891702771758,5188.070359721156,1638.0762466158908,1331.5787072050887,1992.7586290123245,928.1543137522583,1551.5547294022688,2156.980053219731,-1797.1211192875846,-787.3746505039265,-1502.019643886149,496.4603465396296,3732.416886545177,-1169.867503462032,614.7333553743853,850.7756410281496,-1140.5593807609573,60.642758367474286,63.15216180109619,8.857088993600366,973.6128692053514,-1873.8001761915493,177.8573690254727,-527.5852101910268,611.6125708067009,-176.46657780578394,311.14823446089656,-499.5303851648616,-1721.2053287845026,913.6127454705558,-474.30254646871595,-269.0943389316718,-448.53522456201847,-128.89708016737228,671.3638258603524,1157.4527603081394
1908.589574884151,-1617.2710177580059,11909.593037414432,-2992.856649624224,-4427.21730830082,6008.85373733939,1321.0635618037447,2395.775019741751,565.1888762786951,973.3614554924122,1748.55830837886,1333.1404659829786,-2701.220486111165,-130.4690690402879,-929.5482922334738,-533.938759043171,3443.511284751382,-273.67305412611125,1489.401373513262,1688.5311608804946,-83.80875568050483,-956.4227683500975,120.26669237328973,750.579818467809,-34.208019952089266,229.50002891761952,1560.1660209514828,113.3340681863943,-884.4644525877549,861.3746563849534,-1244.1899526060581,-160.51172472655952,846.774694760524,1184.5811913842208,2542.2304929865168,778.1678535659412,625.7816639902561,829.0181524527319,1135.973334737129,-889.9121187134009
2810.868825220881,-16.625223206864348,11358.471024677936,-3530.759395755064,-3874.931487184034,3567.9652337889315,406.5278362674592,2762.869567168333,-409.05098654558157,-78.72359657557621,1692.6819652091767,2060.207501821528,-2867.1846416661724,-396.74593606028503,-1975.17896351075,390.2443465848334,1885.5224757415306,-253.24628962767665,638.564382461904,1735.459332555654,657.5812640159068,-815.8916490687211,1809.0344523383199,-659.5891847467236,-160.2665706218637,1840.82264774684,273.06096170868426,504.88712356067447,-597.8343017488365,1063.7379379642866,-539.0211043532887,973.2400365888066,451.32645169909966,1126.432182116879,3078.9510130720064,992.1240236050962,2276.408827440819,2083.8728365324287,986.0334642151024,281.6886162265236
3785.182676572067,-2085.245326123476,10459.836886951767,-2902.0279495319573,-5080.31719623952,3620.896837409042,152.44131033894035,1385.7769588604317,-1451.9966243610418,-105.67931567498508,1914.6109534250145,1701.4286107851024,-3871.3024493939324,614.516587011435,-1474.3727709323953,-378.3986759148407,1193.8079600889082,-264.71559390970157,1443.7885617890583,2302.3030004595184,756.2875960892612,-1037.1850888774243,1574.5220748763973,-688.2560145450976,-671.3164672431311,2610.0741207548417,1302.583968984172,1554.6142750662425,-302.13156430615527,694.2148953774381,-1448.7985938639504,147.8390938426703,156.65835712194118,327.95854159536975,2691.2247655279934,963.0059936914203,2348.8599292210415,1698.3354493278184,603.5538856763395,-63.48572498982335
